Name, Address
Trường THPT Thanh Xuân,"Xã Tam Hưng, Thanh Oai"
Trường THPT Thường Tín,"Thị trấn Thường Tín, huyện Thường Tín"
Trường THPT Tô Hiệu - Thường Tín,Xã Tô Hiệu - Thường Tín
Trường THPT Vân Tảo,"ĐT427, xã Vân Tảo, huyện Thường Tín"
Trường THPT Nguyễn Trãi - Thường Tín,"Nhị Khê, Thường Tín"
Trường THPT Lý Tử Tấn,Mai Sao - Xã Nguyễn Trãi - Huyện Thường Tín
Trường THPT Phùng Hưng,"Trung tâm KTTH Thường Tín, huyện Thường Tín"
Trường THPT Phú Xuyên A,"QL1A, TT. Phú Xuyên, huyện Phú Xuyên"
Trường THPT Phú Xuyên B,"Bờ sông Châu Giang, thôn Tri Thủy, Tri Thủy, huyện Phú Xuyên"
Trường THPT Đồng Quan,"số 73, Phượng Dực, Phú Xuyên"
Trường THPT Tân Dân,"Tân Dân, Phú Xuyên"
Trường THPT Nguyễn Bỉnh Khiêm - Phú Xuyên,"xã Khai Thái, huyện Phú Xuyên"
Trường THPT Ứng Hòa A,"175 Nguyễn Thượng Hiền, Thị trấn Vân Đình, huyện Ứng Hoà"
Trường THPT Ứng Hòa B,Xã Đồng Tân - Ứng Hoà
Trường THPT Lưu Hoàng,Lưu Hoàng - Ứng Hòa
Trường THPT Nguyễn Thượng Hiền - Ứng Hòa,"số 2 đường đê, thị trấn Vân Đình, huyện Ứng Hòa"
