Name,Address
Tiểu Học Hồng Hà,"40 Phố Lãn Ông, quận Hoàn Kiếm, Hà Nội"
Tiểu Học Nguyễn Bá Ngọc,"Số 2, ngõ Hàng Chỉ, phố Hàng Hòm, phường Hàng Gai, quận Hoàn Kiếm, Hà Nội"
Tiểu Học Điện Biên,"44 Quán Sứ, Hoàn Kiếm, Hà Nội"
Tiểu Học Thăng Long,"Số 20 Phố Ngõ Trạm, Hoàn Kiếm"
Tiểu Học Phúc Tân,"Số 12 Phúc Tân, Hoàn Kiếm, Hà Nội"
Tiểu Học Trần Quốc Toản,"Số 33 Nhà Chung, quận Hoàn Kiếm, TP. Hà Nội"
Tiểu Học Trưng Vương,"25-27 Lý Thái Tổ, Hoàn Kiếm, Hà Nội"
Tiểu Học Quang Trung,"39 Phố Quang Trung, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
Tiểu Học Trần Nhật Duật,Số 2 phố Chợ Gạo – phường Hàng Buồm – quận Hoàn Kiếm – Thành phố Hà Nội
Tiểu Học Tràng An,"29 phố Nhà Chung, quận Hoàn Kiếm"
Tiểu Học Chương Dương,Khu A: 140 Phố Vọng Hà & 721 Hồng Hà – Khu B: 236 Bạch Đằng
Tiểu học An Dương,"7 ngõ 189, An Dương, Q. Tây Hồ, Tp. Hà Nội"
Tiểu học Chu Văn An,"260, Thụy Khuê, P. Thụy Khuê, Q. Tây Hồ, Tp. Hà Nội"
Tiểu học Đông Thái,"31A, Võng Thị, P. Bưởi, Q. Tây Hồ, Tp. Hà Nội"
Tiểu học Nhật Tân,"364, Âu Cơ, Q. Tây Hồ, Tp. Hà Nội"
Tiểu học Phú Thượng,"Ngõ 143 Phú Gia, P. Phú Thượng, Q. Tây Hồ, Tp. Hà Nội"
Tiểu học Quảng An,"6, Đặng Thai Mai, P. Quảng An, Q. Tây Hồ, Tp. Hà Nội"
Tiểu học Tứ Liên,"6A ngõ 200, Âu Cơ, Q. Tây Hồ, Tp. Hà Nội"
Tiểu học Xuân La,"Xuân La, P. Xuân La, Q. Tây Hồ, Tp. Hà Nội"
Tiểu Học Sao Mai,"98 Đường Tô Ngọc Vân, Quảng An, Tây Hồ, Hà Nội"
Trường Tiểu Học Song Ngữ Horizon,"98 đường Tô Ngọc Vân, Villa 1, 2, quận Tây Hồ, Hà Nội"
Trường Tiểu Học Genesis,"Đường Nguyễn Văn Huyên mới, Khu đô thị Tây Hồ Tây, Tây Hồ, Hà Nội"
Tiểu Học Dân Lập Hà Nội Academy,"D45 – D46 Khu đô thị Quốc tế Nam Thăng Long – Ciputra Phú Thượng, Phú Thượng, Tây Hồ, Hà Nội"
Tiểu Học Sunshine Maple Bear,"Sunshine Riverside, Phú Thượng, Quận Tây Hồ, Hà Nội"
Trường Quốc Tế Liên Hợp Quốc Hà Nội UNIS,"G9, Võ Chí Công, Khu đô thị Ciputra, Tây Hồ, Hà Nội"
Trường Tiểu Học Quốc Tế Singapore,"Tòa nhà C3 (NT III B) Khu đô thị Ciputra, Phường Phú Thượng, quận Tây Hồ, Hà Nội"
Tiểu Học Ái Mộ A,"Số 8, ngõ 135 ngách 12, Nguyễn Văn Cừ, P. Ngọc Lâm Q. Long Biên, TP. Hà Nội"
Tiểu Học Đô Thị Sài Đồng,"Lô TH2, Khu đô thị mới Sài Đồng, Long Biên, Hà Nội"
Tiểu Học Thạch Bàn B,"Tổ 7, Phường Thạch Bàn, Q. Long Biên, TP. Hà Nội"
Tiểu Học Ái Mộ B,"Số 21, ngõ 135, Nguyễn Văn Cừ, Phường Ngọc Lâm Quận Long Biên, TP. Hà Nội"
Tiểu Học Bồ Đề,"Số 103-105 Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, TP. Hà Nội"
Tiểu Học Cự Khối,"Tổ 10, Cự Khối, Quận Long Biên, TP. Hà Nội"
